Transaction Detail,Category,Sub-Category
"wal wal-mart super 002971 washington, il, us",expenses,miscellaneous
"wal-mart #5157155 east co morton, il, us",expenses,miscellaneous
"farm & fleet of morton, il, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"pfm verify 888-6550203, ca, usa",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"wal-mart #5157155 east co morton, il, us",expenses,miscellaneous
"wal wal-mart super 611532 washington, il, us",expenses,miscellaneous
"viewfreescor* 866-460-2315, al, usa",expenses,miscellaneous
"cash app*david capps*adds san francisco, ca, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"pfm verify 8886550203, ca, usa",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"wal wal-mart super 211570 morton, il, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"mnrd-washington1975 freed washington, il, us",expenses,miscellaneous
"cash app*david capps*adds san francisco, ca, us",expenses,miscellaneous
"mnrd-washington1975 freed washington, il, us",expenses,miscellaneous
"requested transfer to david capps (piermont bank, na checking 2922)",expenses,miscellaneous
"wal wal-mart super 912957 morton, il, us",expenses,miscellaneous
"cash app*david capps*adds san francisco, ca, us",expenses,miscellaneous
"usps po 1653100 morton, il, usa",expenses,miscellaneous
"cash app*david capps*adds san francisco, ca, us",expenses,miscellaneous
"cash app*david capps*adds san francisco, ca, us",expenses,miscellaneous
check paid #1004,expenses,miscellaneous
"cash app*david capps*adds san francisco, ca, us",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"cash app*david capps*adds san francisco, ca, us",expenses,miscellaneous
"wal-mart #5157155 east co morton, il, us",expenses,miscellaneous
"cash app*david capps*adds san francisco, ca, us",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
"taxhawkcom provo, ut, usa",expenses,miscellaneous
echeck deposit,expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"squarespace inc new york, ny, usa",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
"cash app*david capps*adds san francisco, ca, us",expenses,miscellaneous
"mnrd-washington1975 freed washington, il, us",expenses,miscellaneous
"cash app*temusquareup.com san francisco, ca, us",expenses,miscellaneous
"cash app*david capps*adds san francisco, ca, us",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
"kickresume beckov, ta, svk",expenses,miscellaneous
"cash app*temusquareup.com san francisco, ca, us",expenses,miscellaneous
"wal wal-mart super 142112 morton, il, us",expenses,miscellaneous
"cash app*temusquareup.com san francisco, ca, us",expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
"fcc washington, dc, usa",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
"cash app*david capps*adds san francisco, ca, us",expenses,miscellaneous
"mnrd-washington1975 freed washington, il, us",expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"cash app*temusquareup.com san francisco, ca, us",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
tradestation payments~ future amount: 100 ~ tran: achdw,expenses,miscellaneous
"amzn mktp us*x5 amzn.com/bill, wa, usa",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"amzn mktp us*0s amzn.com/bill, wa, usa",expenses,miscellaneous
"farm & fleet of morton, il, us",expenses,miscellaneous
"wal-mart #5157155 east co morton, il, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"sp usamm milwaukie, or, usa",expenses,miscellaneous
"wal wal-mart super 021939 washington, il, us",expenses,miscellaneous
"unlimited wares morton grove, il, usa",expenses,miscellaneous
check paid #1005,expenses,miscellaneous
check paid #1006,expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"wal-mart #5157155 east co morton, il, us",expenses,miscellaneous
"dri*imobie inc. minnetonka, mn, usa",expenses,miscellaneous
"wal-mart #5157155 east co morton, il, us",expenses,miscellaneous
"farm & fleet of morton, il, us",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"mnrd-washington1975 freed washington, il, us",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"harbor freight tools paris, tn, us",expenses,miscellaneous
"dollar general #18134dg 1 south fulton, tn, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
"farm & fleet of morton, il, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"wal-mart #5157155 east co morton, il, us",expenses,miscellaneous
"aliexpress san mateo, ca, usa",expenses,miscellaneous
"aliexpress 800-981-3590, ca, usa",expenses,miscellaneous
"aliexpress 800-981-3590, ca, usa",expenses,miscellaneous
"aliexpress 800-981-3590, ca, usa",expenses,miscellaneous
"aliexpress 800-981-3590, ca, usa",expenses,miscellaneous
"menards washing washington, il, usa",expenses,miscellaneous
"aliexpress 800-981-3590, ca, usa",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"wal-mart #5157155 east co morton, il, us",expenses,miscellaneous
"amzn mktp us*tl amzn.com/bill, wa, usa",expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
walmart.com purchase~ future amount: 11.86 ~ tran: achdw,expenses,miscellaneous
"amzn mktp us*jz amzn.com/bill, wa, usa",expenses,miscellaneous
"amzn mktp us*lh amzn.com/bill, wa, usa",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"aliexpress san mateo, ca, usa",expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
"wm supercenter #1421wal-m washington, il, us",expenses,miscellaneous
"aldi 68086 washington, il, us",expenses,miscellaneous
"mnrd-washington1975 freed washington, il, us",expenses,miscellaneous
"temu.com 13024806118, ma, usa",expenses,miscellaneous
"alldata.com/diy 800-829-8727, ca, usa",expenses,miscellaneous
"hillerfordi san jose, ca, us",expenses,miscellaneous
"aliexpress 800-981-3590, ca, usa",expenses,miscellaneous
"cash app*david capps*cash squareup.com san francisco, ca, usa",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
"temu.com 13024806118, ma, usa",expenses,miscellaneous
"aliexpress 800-981-3590, ca, usa",expenses,miscellaneous
"wal wal-mart super 140523 morton, il, us",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"paypal *ebay us 0789372482, ca, usa",expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
"wal-mart #5157155 east co morton, il, us",expenses,miscellaneous
"temu.com 13024806118, ma, usa",expenses,miscellaneous
"temu.com 13024806118, ma, usa",expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
"temu.com 13024806118, ma, usa",expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"mnrd-washington1975 freed washington, il, us",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"dollar-general #0477dg 00 north vernon, in, us",expenses,miscellaneous
"wal wal-mart super 002353 morton, il, us",expenses,miscellaneous
"wal-mart #0871101 w us hi mountain view, mo, us",expenses,miscellaneous
"dollar-general #7536dg 07 van buren, mo, us",expenses,miscellaneous
"wm supercenter #1421wal-m washington, il, us",expenses,miscellaneous
"temu.com 13024806118, ma, usa",expenses,miscellaneous
"temu.com 13024806118, ma, usa",expenses,miscellaneous
"temu.com 13024806118, ma, usa",expenses,miscellaneous
cash app david capp,expenses,miscellaneous
"aliexpress 800-981-3590, ca, usa",expenses,miscellaneous
"wal wal-mart super 640152 washington, il, us",expenses,miscellaneous
"wal wal-mart super 722932 morton, il, us",expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
"cash app*david capps*adds san francisco, ca, us",expenses,miscellaneous
"aliexpress 800-981-3590, ca, usa",expenses,miscellaneous
"1410 n 8th st pekin, il, us",expenses,miscellaneous
"cash app*david capps*cash squareup.com san francisco, ca, usa",expenses,miscellaneous
"tazewell towing pekin, il, usa",expenses,miscellaneous
"wm supercenter #5157wal-m morton, il, us",expenses,miscellaneous
"cash app*temu comsquareup wilmington, de, us",expenses,miscellaneous
"dollar general #22695dg 2 goodfield, il, us",expenses,miscellaneous
"cash app*david capps*cash squareup.com san francisco, ca, usa",expenses,miscellaneous
"alldata.com/diy 800-829-8727, ca, usa",expenses,miscellaneous
"aliexpress 800-981-3590, ca, usa",expenses,miscellaneous
"aliexpress 800-981-3590, ca, usa",expenses,miscellaneous
"wal-mart #5157155 east co morton, il, us",expenses,miscellaneous
"autozone  44669003 n alle peoria, il, us",expenses,miscellaneous
"autozone  9003 n allen peoria, il, us",expenses,miscellaneous
"klarna*aliexpress 629 n high st  floor 3 columbus, oh, us",expenses,miscellaneous
"wal wal-mart super 001670 5157 wal-sams morton, il, us",expenses,miscellaneous
"temu.com 31 st james avenue suit 13024806118, ma, us",expenses,miscellaneous
"temu.com 31 st james avenue suit 13024806118, ma, us",expenses,miscellaneous
"wal-mart #5157 155 east courtland str morton, il, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
"aliexpress 400 s el camino real fl 800-981-3590, ca, us",expenses,miscellaneous
