Keyword,Category,Subcategory
allstate,Bills,Auto insurance
ameren,Bills,Electricity
caldwell,Bills,Rent
capital one crcardpmt,Bills,Credit cards
cbs storage,Bills,Rent
directv,Bills,Cable TV
geico,Bills,Auto insurance
mcm*deercreek,Bills,Water
mediacom,Bills,Internet
mission lane,Bills,Credit cards
natural gas,Bills,Natural Gas
nicor,Bills,Natural Gas
progressive,Bills,Auto insurance
root,Bills,Auto insurance
spi*amerenil,Bills,Electricity
spi*directv,Bills,Cable TV
village of dc - mcm,Bills,Water
waste haul - goodfield,Bills,Garbage
5 lakes,Debt,Personal loans
affirm,Debt,Personal loans
afterpay,Debt,Personal loans
amex,Debt,Personal loans
atlas,Debt,Personal loans
bridgecrest,Debt,Vehicle Loan
capital one auto carpay,Debt,Personal loans
capital one mobile pmt,Debt,Personal loans
capital one online pmt,Debt,Personal loans
capone,Debt,Credit cards
five lakes,Debt,Personal loans
klarna,Debt,Personal loans
m & t mortgage,Debt,Personal loans
mortgage,Debt,MORTGAGE
paypal,Debt,Personal loans
paytomorrow,Debt,Personal loans
sezzle,Debt,Personal loans
tire one,Debt,Personal loans
trailers rent,Debt,Personal loans
acasis,Expenses,Hardware
aldi,Expenses,Miscellaneous
aliexpress,Expenses,Miscellaneous
alldata.com,Expenses,Miscellaneous
alpha investor,Expenses,Business
amazon.com,Expenses,Miscellaneous
american milsim ,Expenses,AIRSOFT 
amoco,Expenses,Auto-Fuels
amped ,Expenses,AIRSOFT 
amzn,Expenses,Miscellaneous
arbys,Expenses,Restaurant
arco,Expenses,Auto-Fuels
autozone,Expenses,Miscellaneous
bp,Expenses,Auto-Fuels
budgetdog,Expenses,Software
burger king,Expenses,Restaurant
car wise,Expenses,Auto-Fuels
carfax,Expenses,Auto-Fuels
carr s,Expenses,Recreation
carwise,Expenses,Miscellaneous
caseys,Expenses,Auto-Fuels
caseys pizza,Expenses,Restaurant
cash app,Expenses,Miscellaneous
cash flow formu,Expenses,Business
cenex,Expenses,Auto-Fuels
check,Expenses,Miscellaneous
cheyenne,Expenses,Miscellaneous
china dragon,Expenses,Restaurant
circle k,Expenses,Auto-Fuels
cloaked,Expenses,Software
corporate filin,Expenses,Business
cracker barrel,Expenses,Restaurant
crjunkiesbrucep,Expenses,Business
culvers,Expenses,Restaurant
cy  famous wok,Expenses,Restaurant
dairy queen,Expenses,Restaurant
dcr nls,Expenses,Auto-Fuels
dd/br,Expenses,Miscellaneous
designrr.io,Expenses,Software
dj45 red kaga,Expenses,Business
dollar ge,Expenses,Miscellaneous
dollar general,Expenses,Miscellaneous
dollar-ge,Expenses,Miscellaneous
dollar-general ,Expenses,Miscellaneous
domino's,Expenses,Restaurant
dri*imobie,Expenses,Miscellaneous
ebay,Expenses,Miscellaneous
etsy,Expenses,Miscellaneous
evike.com,Expenses,AIRSOFT 
exxon,Expenses,Auto-Fuels
farm & fleet,Expenses,Miscellaneous
fastexcel,Expenses,Software
fcc,Expenses,Miscellaneous
five star,Expenses,Auto-Fuels
flying j,Expenses,Auto-Fuels
github,Expenses,Software
gofundme,Expenses,DONATION
gumroad,Expenses,Miscellaneous
harbor freight,Expenses,Miscellaneous
hardee's,Expenses,Restaurant
hardees,Expenses,Restaurant
heartland,Expenses,Pet
hillerford,Expenses,Miscellaneous
holiday stations,Expenses,Miscellaneous
huck's,Expenses,Restaurant
huddle house,Expenses,Restaurant
iga,Expenses,Miscellaneous
ilsos,Expenses,Auto-Fuels
irs ptin,Expenses,Business
keps place,Expenses,Restaraunt
keyboard rich,Expenses,Business
kfc,Expenses,Restaraunt
kickresume,Expenses,Miscellaneous
kinguin order,Expenses,Software
koa,Expenses,Recreation
kroger fuel,Expenses,Auto-Fuels
kwik trip ,Expenses,Auto-Fuels
la fiesta,Expenses,Restaurant
launch,Expenses,Auto-Fuels
ljs,Expenses,Restaraunt
love's,Expenses,Auto-Fuels
ls bingshop,Expenses,AIRSOFT 
marathon,Expenses,Auto-Fuels
mariachi mexica,Expenses,Restaurant
mcdonald's,Expenses,Restaurant
menards,Expenses,Miscellaneous
merchnt,Expenses,Miscellaneous
mir tactical,Expenses,AIRSOFT 
mnrd,Expenses,Miscellaneous
monical,Expenses,Restaurant
monroneylabels,Expenses,Business
motomart,Expenses,Auto-Fuels
mountain view r,Expenses,Auto-Fuels
murphy,Expenses,Auto-Fuels
no-ip,Expenses,Miscellaneous
patriot express,Expenses,Auto-Fuels
petsmart,Expenses,Pet
pfm verify,Expenses,Miscellaneous
phillips 66,Expenses,Auto-Fuels
pilot,Expenses,Auto-Fuels
prime,Expenses,Business
qt,Expenses,Auto-Fuels
quicken,Expenses,software
roc,Expenses,Miscellaneous
rock auto,Expenses,Auto-Fuels
rural ki,Expenses,Miscellaneous
rv,Expenses,Recreation
schwab,Expenses,Software
sharks fish,Expenses,Restaurant
shell,Expenses,Auto-Fuels
signal food,Expenses,Restaurant
socialcatfish.c,Expenses,Business
sonic drive in,Expenses,Restaurant
sp usamm,Expenses,Miscellaneous
sqsp,Expenses,Miscellaneous
squarespace,Expenses,Miscellaneous
starbucks,Expenses,Restaurant
subway,Expenses,Restaraunt
taco bell,Expenses,Restaraunt
taxact,Expenses,Miscellaneous
taxhawkcom,Expenses,Miscellaneous
tazewell towing,Expenses,Miscellaneous
temu.com,Expenses,Miscellaneous
the fellowship,Expenses,Miscellaneous
the golden gap,Expenses,Miscellaneous
thmredstate,Expenses,Business
thorntons,Expenses,Auto-Fuels
thredstate,Expenses,Miscellaneous
timsykes-supern,Expenses,Business
tradestation,Expenses,Miscellaneous
transfer,Expenses,Business
unlimited wares,Expenses,Miscellaneous
usconnect,Expenses,Miscellaneous
usps,Expenses,Miscellaneous
viewfreescor,Expenses,Miscellaneous
wal-mart,Expenses,Miscellaneous
walmart.com,Expenses,Miscellaneous
walmart.com purchase,Expenses,Miscellaneous
wealthyconsulta,Expenses,Business
wendy's,Expenses,Restaraunt
wendys,Expenses,Restaurant
wire fee,Expenses,BANKING
wm supercenter,Expenses,Miscellaneous
yogi's liquor,Expenses,Recreation
zaxby's,Expenses,Restaraunt
zoho-one,Expenses,Business
pekin,Expenses,Miscellaneous
amentum,Income,Salary
atm fee reimbursement,Income,Refund
chime,Income,Deposit
credit,Income,Deposit
deposit,Income,Deposit
interest paid,Income,Interest Earned
refund,Income,Refund
venmo cashout,Income,Deposit
bal fwd,Savings,Checking Bal FWD
coinbase,Savings,Other savings
reversal,Savings,RevAdj
acorns,Subscriptions,Personal
amazon,Subscriptions,Personal
apple,Subscriptions,Personal
biz performance,Subscriptions,Business
cultivatedcultu,Subscriptions,Business
google,Subscriptions,Personal
hp *instant ink,Subscriptions,Personal
identityiq,Subscriptions,Personal
medium,Subscriptions,Personal
microsoft,Subscriptions,Personal
newsmax,Subscriptions,Personal
