,Month,Date,Description,$,Amount,Category,Sub-Category
,December,2024-12-31,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US",$,7.0,Subscriptions,Business
,December,2024-12-31,"DAIRY QUEEN #11401 1224 PEORIA ST WASHINGTON, IL, US",$,19.83,Expenses,Restaurant
,December,2024-12-31,"GITHUB, INC. 88 Colin P Kelly Jr. St SAN FRANCISCO, CA, US",$,10.0,Expenses,Software
,December,2024-12-30,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US",$,4.96,Expenses,Miscellaneous
,December,2024-12-30,"DOLLAR GENERAL #22695 DG 22695101 COMMERCIAL GOODFIELD, IL, US",$,25.24,Expenses,Miscellaneous
,December,2024-12-30,Subscription Acorns,$,3.0,Subscriptions,Personal
,December,2024-12-29,"TST*LA FIESTA - MORTON 837 W Jackson St Morton, IL, US",$,64.78,Expenses,Restaurant
,December,2024-12-29,"APPLE.COM/BILL ONE APPLE PARK CUPERTINO, CA, US",$,0.99,Subscriptions,Personal
,December,2024-12-29,"COF MERCHNT BIL 7933 Preston Rd PLANO, TX, US",$,251.62,Expenses,Miscellaneous
,December,2024-12-28,"CIRCLE K 00161 319 N. MAIN MORTON, IL, US",$,13.22,Expenses,Auto-Fuels
,December,2024-12-27,"HEARTLAND HEARTLAND VE MORTON, IL, US",$,246.91,Expenses,Pet
,December,2024-12-26,AFFIRM INC AFFIRM PAY~ Future Amount: 18.35 ~ Tran: ACHDW,$,18.35,Debt,Personal loans
,December,2024-12-24,"BURGER KING #10361 Q07 1810 NORTH MORTON AVENU MORTON, IL, US",$,32.23,Expenses,Restaurant
,December,2024-12-24,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US",$,7.0,Subscriptions,Business
,December,2024-12-24,"CIRCLE K # 01424 1801 N MORTON AVE MORTON, IL, US",$,93.42,Expenses,Auto-Fuels
,December,2024-12-24,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US",$,516.63,Expenses,Miscellaneous
,December,2024-12-24,VENMO CASHOUT,$,50.0,Income,Deposit
,December,2024-12-24,"ARBYS 8865 133 E ASHLAND ST MORTON, IL, US",$,33.21,Expenses,Restaurant
,December,2024-12-24,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US",$,100.0,Expenses,Miscellaneous
,December,2024-12-23,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US",$,247.28,Expenses,Miscellaneous
,December,2024-12-23,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US",$,7.7,Expenses,Miscellaneous
,December,2024-12-23,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US",$,40.0,Expenses,Miscellaneous
,December,2024-12-23,"NNT PETSMART # 1882000581 208 RIVER ROAD EAST PEORIA, IL, US",$,22.76,Expenses,Pet
,December,2024-12-23,AtlasFinancial Payment,$,8.99,Debt,Personal loans
,December,2024-12-23,"AMOCO#1794577MORTONQPS 601 W JACKSON ST MORTON, IL, US",$,2.55,Expenses,Auto-Fuels
,December,2024-12-23,Bridgecrest DT RETAIL,$,709.0,Debt,Vehicle Loan
,December,2024-12-23,Nicor Gas NICPayment,$,170.84,Bills,Natural Gas
,December,2024-12-22,"CIRCLE K 00161 319 N. MAIN MORTON, IL, US",$,12.8,Expenses,Auto-Fuels
,December,2024-12-22,"NO-IP 425 MAESTRO DR FLOOR 2 7758531883, NV, US",$,19.99,Expenses,Miscellaneous
,December,2024-12-22,"SQSP* INV162332655 225 Varick St NEW YORK, NY, US",$,12.0,Expenses,Miscellaneous
,December,2024-12-22,"DOMINO'S 2817 11 E JACKSON ST MORTON, IL, US",$,32.05,Expenses,Restaurant
,December,2024-12-22,"PAYTOMORROW 9920 KINCEY AVE STE 190 866-4185857, NC, US",$,26.7,Debt,Personal loans
,December,2024-12-21,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,8.05,Expenses,Auto-Fuels
,December,2024-12-21,"DIRECTV*STREAM 4331 COMMUNICATIONS DR 800-531-5000, TX, US",$,120.99,Bills,Cable TV
,December,2024-12-21,"MICROSOFT*MICROSOFT 36 ONE MICROSOFT WAY MSBILL.INFO, WA, US",$,7.67,Subscriptions,Personal
,December,2024-12-20,"MCDONALD'S F1919 2205 N KNOXVILLE AVE PEORIA, IL, US",$,32.27,Expenses,Restaurant
,December,2024-12-20,"DAIRY QUEEN #11401 1224 PEORIA ST WASHINGTON, IL, US",$,28.65,Expenses,Restaurant
,December,2024-12-20,"AMEREN PO BOX 149 ST. LOUIS, MO, US",$,943.81,Bills,Electricity
,December,2024-12-20,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US",$,8.09,Expenses,Auto-Fuels
,December,2024-12-20,FIVE LAKES (CFT) 8443588358,$,385.36,Debt,Personal loans
,December,2024-12-20,AFFIRM INC AFFIRM PAY~ Future Amount: 20.17 ~ Tran: ACHDW,$,20.17,Debt,Personal loans
,December,2024-12-20,"WM SUPERCENTER #5157 Wal-Mart Super Center MORTON, IL, US",$,93.45,Expenses,Miscellaneous
,December,2024-12-19,"WAL WAL-MART SUPER 001034 1421 WAL-SAMS WASHINGTON, IL, US",$,445.92,Expenses,Miscellaneous
,December,2024-12-19,"PAYPAL *LNSJHDDE84S 89 Neil Road, #03-01 13241649400, HK, HK",$,33.55,Debt,Personal loans
,December,2024-12-19,AMENTUM SERVICES DIRECT DEP,$,3018.59,Expenses,Recreation
,December,2024-12-19,Rocket Money Premium,$,6.0,Expenses,Miscellaneous
,December,2024-12-18,Interest Paid,$,0.36,Income,Interest Earned
,December,2024-12-18,"CASH APP*DAVID CAPPS*ADD SQUAREUP.COM OAKLAND, CA, US",$,52.0,Expenses,Miscellaneous
,December,2024-12-18,"SEZZLE INC 700 NICOLET MALL #640 MINNEAPOLIS, MN, US",$,17.99,Debt,Personal loans
,December,2024-12-17,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US",$,7.0,Subscriptions,Business
,December,2024-12-17,"PROGRESSIVE INS 6300 Wilson Mills Rd 800-776-4737, OH, US",$,63.89,Bills,Auto insurance
,December,2024-12-16,"BIZ PERFORMANCE HQ 34 Seaside Dve KINGSCLIFF, NS, AU",$,7.07,Subscriptions,Business
,December,2024-12-16,Cash App David Capp,$,20.0,Expenses,Miscellaneous
,December,2024-12-16,MEDIACOM - CHILL EFT PAYMNT,$,160.2,Bills,Internet
,December,2024-12-14,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US",$,21.01,Expenses,Miscellaneous
,December,2024-12-14,"CIRCLE K 00161 319 N. MAIN MORTON, IL, US",$,3.83,Expenses,Auto-Fuels
,December,2024-12-14,"CLOAKED* IND MONTH 1075 Westford StreetSui LOWELL, MA, US",$,9.99,Expenses,Software
,December,2024-12-14,"MCM*DEERCREEK 101 W First Ave DEER CREEK, IL, US",$,212.12,Bills,Water
