Date, Time, Amount, Type, Description
2025-01-27,09:31:01,-12.70,Withdrawal,"AFTERPAY 760 Market Street, Floo SAN FRANCISCO, CA, US"
2025-01-27,00:37:47,-18.35,Withdrawal,AFFIRM INC AFFIRM PAY~ Future Amount: 18.35 ~ Tran: ACHDW
2025-01-26,18:13:53,-9.46,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2025-01-26,10:52:13,0.96,Deposit,"GOOGLE *GOOGLE ONE MOUNTAIN VIEW, CA, US"
2025-01-26,08:02:23,-17.73,Withdrawal,"MCDONALD'S F6119 321 N MORTAN AVE MORTAN, IL, US"
2025-01-25,15:21:35,-11.21,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2025-01-25,14:48:10,-87.18,Withdrawal,"TEMU.COM 31 ST JAMES AVE. STE 35 13024806118, MA, US"
2025-01-25,04:08:59,-5.99,Withdrawal,"AFTERPAY 760 Market Street, Floo SAN FRANCISCO, CA, US"
2025-01-25,04:08:51,-32.44,Withdrawal,"Klarna Corporation Trust Cente Wilmington, DE, US"
2025-01-25,00:35:26,-77.73,Withdrawal,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US"
2025-01-24,13:54:42,-463.19,Withdrawal,"ILSOS ROANOKE VEHICLE 106 W BROAD ST ROANOKE, IL, US"
2025-01-23,14:09:02,-11.36,Withdrawal,"AFTERPAY 760 Market Street, Floo SAN FRANCISCO, CA, US"
2025-01-23,13:37:57,-11.93,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2025-01-23,03:52:23,-160.00,Withdrawal,MEDIACOM - CHILL EFT PAYMNT
2025-01-22,03:49:54,-6.00,Withdrawal,Rocket Money Premium
2025-01-22,03:41:49,-8.99,Withdrawal,AtlasFinancial Payment
2025-01-21,21:10:16,-13.43,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2025-01-21,13:11:38,-7.00,Withdrawal,"CULTIVATEDCULTURE.COM 197 Van Vorst StreetApa JERSEY CITY, NJ, US"
2025-01-21,06:05:26,-709.00,Withdrawal,Bridgecrest DT RETAIL
2025-01-21,05:09:08,-20.17,Withdrawal,AFFIRM INC AFFIRM PAY
2025-01-20,22:50:06,-9.26,Withdrawal,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US"
2025-01-20,21:46:32,-70.44,Withdrawal,"AMAZON.COM*ZC07T3J02 AMAZON.COM SEATTLE, WA, US"
2025-01-20,14:11:13,-120.99,Withdrawal,"DIRECTV*STREAM 4331 COMMUNICATIONS DR 800-531-5000, TX, US"
2025-01-20,13:40:34,-55.43,Withdrawal,"Cracker Barrel 305 HARTMANN DR 800-3339963, TN, US"
2025-01-20,13:40:12,-57.42,Withdrawal,"TST*LA FIESTA - MORTON 837 W Jackson St Morton, IL, US"
2025-01-20,13:31:02,-7.67,Withdrawal,"Microsoft*Microsoft 36 1 Microsoft Way Redmond, WA, US"
2025-01-19,22:59:05,-73.52,Withdrawal,"WAL-MART #5157 155 EAST COURTLAND STR MORTON, IL, US"
2025-01-19,13:47:11,-100.25,Withdrawal,"CASEYS #1507 312 E 1ST AVE DEER CREEK, IL, US"
2025-01-19,04:37:14,-19.91,Withdrawal,"PAYTOMORROW 9920 KINCEY AVE STE 190 866-4185857, NC, US"
2025-01-18,23:20:29,0.45,Deposit,Interest Paid
2025-01-18,15:11:20,-17.99,Withdrawal,"SEZZLE INC 700 NICOLET MALL #640 MINNEAPOLIS, MN, US"
2025-01-17,21:05:53,-19.00,Withdrawal,"DOLLAR GENERAL #22695 DG 22695101 COMMERCIAL GOODFIELD, IL, US"
